id,slug,name,startTime,endTime,signupDeadline,medium,website,tagline,city,prize,prizeCount,totalTeamCount,awardedTeamCount,finalistTeamCount,sponsorCount
29,lfgrow,LFGrow,2022-03-18T04:00:00.000Z,2022-03-30T04:00:00.000Z,2022-03-16T04:00:00.000Z,virtual,https://lfgrow.ethglobal.com/,null,null,222500,47,123,45,12,8
28,buildquest,BuildQuest,2022-03-04T05:00:00.000Z,2022-03-16T04:00:00.000Z,2022-03-02T05:00:00.000Z,virtual,https://buildquest.ethglobal.com/,null,null,160262.39999999997,48,138,83,10,14
27,roadtoweb3,Road to Web3,2022-02-03T05:00:00.000Z,2022-02-08T05:00:00.000Z,2022-02-01T05:00:00.000Z,virtual,https://web3.ethglobal.com,The road to Web3.,null,199500.3399999994,10,308,207,0,2
24,nfthack2022,NFTHack 2022,2022-01-14T05:00:00.000Z,2022-01-16T05:00:00.000Z,2022-01-12T05:00:00.000Z,virtual,https://nft.ethglobal.com,Build the fair future 2022,null,35000,14,255,14,14,0
22,web3jam,Web3Jam,2021-11-12T05:00:00.000Z,2021-11-24T05:00:00.000Z,2021-11-10T05:00:00.000Z,virtual,https://web3jam.ethglobal.com,"Focused on decentralized media, Web3, and NFTs.",null,106399.76000000008,36,102,80,10,10
21,unicode,UniCode,2021-10-29T04:00:00.000Z,2021-11-10T05:00:00.000Z,2021-10-25T04:00:00.000Z,virtual,https://unicode.ethglobal.com,Building the DeFi ecosystem with Uniswap!,null,100499.96000000002,36,59,31,10,8
20,ethonline2021,ETHOnline 2021,2021-09-17T04:00:00.000Z,2021-10-14T04:00:00.000Z,2021-09-13T04:00:00.000Z,virtual,https://online.ethglobal.com/,2021's largest Ethereum event,null,671796.0099999998,113,211,133,17,47
19,hackfs2021,HackFS 2021,2021-07-30T04:00:00.000Z,2021-08-20T04:00:00.000Z,2021-07-26T04:00:00.000Z,virtual,https://fs.ethglobal.co/,Create the Foundation of the Decentralized Web,null,0,0,144,0,0,0
18,hackmoney2021,HackMoney 2021,2021-06-18T04:00:00.000Z,2021-07-09T04:00:00.000Z,2021-06-04T04:00:00.000Z,virtual,https://defi.ethglobal.co,The largest DeFi hackathon of 2021,null,0,0,216,0,0,0
17,web3weekend,Web3 Weekend,2021-05-28T04:00:00.000Z,2021-05-30T04:00:00.000Z,2021-05-24T04:00:00.000Z,virtual,https://web3weekend.ethglobal.com,Connecting creatives with engineers to build a fair future,null,0,1,89,0,0,1
16,scaling,Scaling Ethereum,2021-04-09T04:00:00.000Z,2021-05-14T04:00:00.000Z,null,virtual,https://scaling.ethglobal.co/,Build for the future,null,0,0,140,0,0,0
15,nfthack,NFTHack,2021-03-19T04:00:00.000Z,2021-03-21T04:00:00.000Z,null,virtual,https://nft.ethglobal.co,Build the fair future,null,0,0,178,0,0,0
14,marketmake,MarketMake,2021-01-15T05:00:00.000Z,2021-02-05T05:00:00.000Z,2021-01-09T05:00:00.000Z,virtual,https://marketmake.ethglobal.co,Building the future of finance,null,0,0,131,0,0,0
13,ethonline,ETHOnline,2020-10-01T04:00:00.000Z,2020-10-31T04:00:00.000Z,2020-09-15T04:00:00.000Z,virtual,https://ethonline.org,2020's largest Ethereum event,null,0,0,181,0,0,0
12,hackfs,HackFS,2020-07-07T04:00:00.000Z,2020-07-31T04:00:00.000Z,2020-06-30T04:00:00.000Z,virtual,https://hackfs.com,Build the decentralized web,null,0,0,131,0,0,0
10,hackmoney,HackMoney,2020-04-24T04:00:00.000Z,2020-05-24T04:00:00.000Z,null,virtual,https://ethglobal.online,The largest DeFi hackathon,null,0,0,117,0,0,0
9,ethlondonuk,ETHLondonUK,2020-02-28T05:00:00.000Z,2020-03-01T05:00:00.000Z,null,physical,https://ethlondon.com,null,null,0,0,0,0,0,0
2,ethwaterloo2019,ETHWaterloo 2019,2019-11-08T05:00:00.000Z,2019-11-10T05:00:00.000Z,null,physical,https://ethwaterloo.com,null,null,0,0,0,0,0,0
8,ethboston,ETHBoston,2019-09-06T04:00:00.000Z,2019-09-08T04:00:00.000Z,null,physical,https://eth.boston,null,null,0,0,0,0,0,0
7,ethnewyork2019,ETHNewYork,2019-05-17T04:00:00.000Z,2019-05-19T04:00:00.000Z,null,physical,https://ethnewyork.com,null,null,0,0,0,0,0,0
5,ethcapetown,ETHCapeTown,2019-04-19T04:00:00.000Z,2019-04-21T04:00:00.000Z,null,physical,https://ethcapetown.com,null,null,0,0,0,0,0,0
4,ethparis,ETHParis,2019-03-07T23:00:00.000Z,2019-03-10T05:00:00.000Z,null,physical,https://ethparis.com,null,null,0,0,0,0,0,0
6,ethsingapore,ETHSingapore,2018-12-07T05:00:00.000Z,2018-12-09T05:00:00.000Z,null,physical,https://ethsingapore.co,null,null,0,0,0,0,0,0
3,ethsanfrancisco,ETHSanFrancisco,2018-10-05T07:00:00.000Z,2018-10-07T04:00:00.000Z,null,physical,https://ethsanfrancisco.com,null,null,0,0,0,0,0,0
1,ethwaterloo,ETHWaterloo,2017-10-13T04:00:00.000Z,2017-10-15T04:00:00.000Z,null,physical,https://ethwaterloo.com,null,null,0,0,0,0,0,0
